id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,distance,hover_text,wine_region
D0757,Buchenbach,DE,BW,,,47.9625,7.9983,445.0,Europe/Berlin,1990-10-01,2023-03-29,1990-10-01,2023-03-29,1990-01-01,2022-01-01,54227.97514935581,<b>Buchenbach</b><br>Latitude: 47.9625<br>Longitude: 7.9983<br>Elevation: 445.0,"Alsace, France"
07186,Phalsbourg / Danne-et-Quatre-Vents,FR,M,07186,,48.7667,7.3,365.0,Europe/Paris,,,1954-10-25,1964-02-13,1954-01-01,1964-01-01,58088.04041555332,<b>Phalsbourg / Danne-et-Quatre-Vents</b><br>Latitude: 48.7667<br>Longitude: 7.3<br>Elevation: 365.0,"Alsace, France"
D7322,Malsburg-Marzell,DE,BW,,,47.766,7.7215,700.0,Europe/Berlin,2005-09-01,2023-03-29,2005-09-02,2022-04-25,2005-01-01,2022-01-01,58585.96852434035,<b>Malsburg-Marzell</b><br>Latitude: 47.766<br>Longitude: 7.7215<br>Elevation: 700.0,"Alsace, France"
10908,Feldberg,DE,BW,10908,,47.8833,8.0,1486.0,Europe/Berlin,1931-01-06,2023-03-31,1936-01-03,2023-03-29,1936-01-01,2022-01-01,59947.891737480946,<b>Feldberg</b><br>Latitude: 47.8833<br>Longitude: 8.0<br>Elevation: 1486.0,"Alsace, France"
D0684,Breitnau,DE,BW,,,47.9385,8.0761,1001.0,Europe/Berlin,2005-06-21,2023-03-29,2005-06-23,2022-04-25,2005-01-01,2022-01-01,60492.05704592917,<b>Breitnau</b><br>Latitude: 47.9385<br>Longitude: 8.0761<br>Elevation: 1001.0,"Alsace, France"
D5664,Wolfach,DE,BW,,,48.2953,8.2391,291.0,Europe/Berlin,1973-01-01,2023-03-29,1958-01-01,2023-03-29,1958-01-01,2022-01-01,61762.32329236203,<b>Wolfach</b><br>Latitude: 48.2953<br>Longitude: 8.2391<br>Elevation: 291.0,"Alsace, France"
D4169,Rheinau-Memprechtshofen,DE,BW,,,48.6703,7.9939,131.0,Europe/Berlin,1961-01-01,2023-03-29,1958-01-01,2023-03-29,1958-01-01,2022-01-01,63738.611377165245,<b>Rheinau-Memprechtshofen</b><br>Latitude: 48.6703<br>Longitude: 7.9939<br>Elevation: 131.0,"Alsace, France"
D4315,Baiersbronn-Ruhestein,DE,BW,,,48.5615,8.2229,916.0,Europe/Berlin,2005-09-01,2023-03-29,2005-09-02,2022-04-25,2005-01-01,2022-01-01,69492.50259134239,<b>Baiersbronn-Ruhestein</b><br>Latitude: 48.5615<br>Longitude: 8.2229<br>Elevation: 916.0,"Alsace, France"
D4211,"Rippoldsau, Bad",DE,BW,,,48.4245,8.3303,493.0,Europe/Berlin,2005-04-15,2023-03-29,2006-09-13,2022-04-25,2006-01-01,2022-01-01,70943.32667355225,"<b>Rippoldsau, Bad</b><br>Latitude: 48.4245<br>Longitude: 8.3303<br>Elevation: 493.0","Alsace, France"
D2349,Hornisgrinde,DE,BW,,,48.6136,8.2034,1119.0,Europe/Berlin,,,1953-01-01,2023-03-29,1953-01-01,2005-01-01,71346.99129505565,<b>Hornisgrinde</b><br>Latitude: 48.6136<br>Longitude: 8.2034<br>Elevation: 1119.0,"Alsace, France"
D1176,Eisenbach,DE,BW,,,47.9634,8.2693,976.0,Europe/Berlin,2004-11-02,2023-03-29,2004-11-04,2022-04-25,2004-01-01,2022-01-01,71446.321291322,<b>Eisenbach</b><br>Latitude: 47.9634<br>Longitude: 8.2693<br>Elevation: 976.0,"Alsace, France"
07173,Epinal,FR,M,07173,,48.2,6.4333,317.0,Europe/Paris,,,,,,,72372.35186251042,<b>Epinal</b><br>Latitude: 48.2<br>Longitude: 6.4333<br>Elevation: 317.0,"Alsace, France"
07299,Bale-Mulhouse,FR,A,07299,LFSB,47.6,7.5167,270.0,Europe/Paris,1973-01-01,2023-03-31,1973-01-01,2023-03-26,1973-01-01,2022-01-01,72642.50096943902,<b>Bale-Mulhouse</b><br>Latitude: 47.6<br>Longitude: 7.5167<br>Elevation: 270.0,"Alsace, France"
D5059,Todtmoos,DE,BW,,,47.728,7.9988,781.0,Europe/Berlin,2004-10-28,2023-03-29,2004-10-29,2022-04-25,2004-01-01,2022-01-01,72766.74767914116,<b>Todtmoos</b><br>Latitude: 47.728<br>Longitude: 7.9988<br>Elevation: 781.0,"Alsace, France"
D0269,Baiersbronn-Mitteltal,DE,BW,,,48.5116,8.3176,596.0,Europe/Berlin,2006-05-24,2023-03-29,2006-05-25,2022-04-25,2006-01-01,2022-01-01,73276.48501580383,<b>Baiersbronn-Mitteltal</b><br>Latitude: 48.5116<br>Longitude: 8.3176<br>Elevation: 596.0,"Alsace, France"
D2953,Lenzkirch-Ruhbühl,DE,BW,,,47.8597,8.2308,852.0,Europe/Berlin,1951-01-01,2023-03-29,2007-04-01,2023-03-29,2007-01-01,2022-01-01,74968.04155788315,<b>Lenzkirch-Ruhbühl</b><br>Latitude: 47.8597<br>Longitude: 8.2308<br>Elevation: 852.0,"Alsace, France"
07180,Nancy / Essey,FR,M,07180,LFSN,48.6833,6.2167,225.0,Europe/Paris,1926-04-04,2023-03-31,1944-11-03,2023-03-26,1944-01-01,2022-01-01,5636.972525675016,<b>Nancy / Essey</b><br>Latitude: 48.6833<br>Longitude: 6.2167<br>Elevation: 225.0,"Beaujolais, France"
07181,Nancy / Ochey,FR,M,07181,LFSO,48.5833,5.9667,336.0,Europe/Paris,1973-01-01,2023-03-31,1973-01-02,2023-03-26,1975-01-01,2022-01-01,15945.0723685053,<b>Nancy / Ochey</b><br>Latitude: 48.5833<br>Longitude: 5.9667<br>Elevation: 336.0,"Beaujolais, France"
07093,Metz-Nancy-Lorraine,FR,M,07093,LFJL,48.9833,6.25,264.0,Europe/Paris,1992-04-08,2023-03-31,1992-11-26,2022-04-25,2005-01-01,2022-01-01,37638.514974868594,<b>Metz-Nancy-Lorraine</b><br>Latitude: 48.9833<br>Longitude: 6.25<br>Elevation: 264.0,"Beaujolais, France"
LFSG0,Epinal / Baudricourt,FR,M,,LFSG,48.3167,6.0667,331.0,Europe/Paris,2007-02-27,2023-03-31,2014-05-29,2022-04-25,2015-01-01,2022-01-01,37697.221538330334,<b>Epinal / Baudricourt</b><br>Latitude: 48.3167<br>Longitude: 6.0667<br>Elevation: 331.0,"Beaujolais, France"
07090,Metz / Frescaty,FR,M,07090,LFSF,49.0833,6.1333,190.0,Europe/Paris,1936-01-02,2013-04-29,1999-03-24,2013-04-28,2007-01-01,2012-01-01,48193.061089194016,<b>Metz / Frescaty</b><br>Latitude: 49.0833<br>Longitude: 6.1333<br>Elevation: 190.0,"Beaujolais, France"
07179,Toul / Rosieres,FR,M,07179,LFSL,48.7833,5.4833,285.0,Europe/Paris,1973-01-01,2023-03-31,1952-03-20,2022-04-25,1952-01-01,2022-01-01,51702.48292402169,<b>Toul / Rosieres</b><br>Latitude: 48.7833<br>Longitude: 5.4833<br>Elevation: 285.0,"Beaujolais, France"
07173,Epinal,FR,M,07173,,48.2,6.4333,317.0,Europe/Paris,,,,,,,54010.048838481096,<b>Epinal</b><br>Latitude: 48.2<br>Longitude: 6.4333<br>Elevation: 317.0,"Beaujolais, France"
LFYD0,Damblain,FR,G,,LFYD,48.0833,5.6667,390.0,Europe/Paris,1980-08-07,1984-03-29,,,,,72758.88625749889,<b>Damblain</b><br>Latitude: 48.0833<br>Longitude: 5.6667<br>Elevation: 390.0,"Beaujolais, France"
07510,Bordeaux / Merignac,FR,B,07510,LFBD,44.8333,-0.7,49.0,Europe/Paris,1931-01-01,2023-03-31,1901-01-01,2023-03-26,1901-01-01,2022-01-01,9500.051182625231,<b>Bordeaux / Merignac</b><br>Latitude: 44.8333<br>Longitude: -0.7<br>Elevation: 49.0,"Bordeaux, France"
07502,Cazaux,FR,B,07502,LFBC,44.5333,-1.1333,25.0,Europe/Paris,1936-07-06,2023-03-31,1987-07-02,2022-04-25,2007-01-01,2022-01-01,55545.9346900896,<b>Cazaux</b><br>Latitude: 44.5333<br>Longitude: -1.1333<br>Elevation: 25.0,"Bordeaux, France"
07500,Cap Ferret,FR,B,07500,,44.6333,-1.25,9.0,Europe/Paris,1973-01-01,2023-02-05,2004-10-20,2022-03-29,2009-01-01,2021-01-01,57748.01199476421,<b>Cap Ferret</b><br>Latitude: 44.6333<br>Longitude: -1.25<br>Elevation: 9.0,"Bordeaux, France"
07503,Biscarosse,FR,B,07503,LFBS,44.4333,-1.25,33.0,Europe/Paris,1974-03-01,2023-02-05,2004-10-19,2022-03-29,2005-01-01,2021-01-01,69766.72728548336,<b>Biscarosse</b><br>Latitude: 44.4333<br>Longitude: -1.25<br>Elevation: 33.0,"Bordeaux, France"
07491,Chambery / Aix-Les-Bains,FR,V,07491,LFLB,45.65,5.8833,235.0,Europe/Paris,1973-01-01,2023-03-31,1999-03-24,2022-04-25,2005-01-01,2022-01-01,11961.319671693545,<b>Chambery / Aix-Les-Bains</b><br>Latitude: 45.65<br>Longitude: 5.8833<br>Elevation: 235.0,"Bugey Savoie, France"
LFLP0,Annecy / Metz-Tessy,FR,V,,LFLP,45.9347,6.1053,463.0,Europe/Paris,2007-02-26,2023-03-31,2007-06-26,2022-04-25,2008-01-01,2022-01-01,30235.084087313942,<b>Annecy / Metz-Tessy</b><br>Latitude: 45.9347<br>Longitude: 6.1053<br>Elevation: 463.0,"Bugey Savoie, France"
07482,Amberieu,FR,V,07482,LFXA,45.9833,5.3333,250.0,Europe/Paris,1980-10-29,2023-02-05,1999-03-24,2022-03-29,2009-01-01,2021-01-01,45917.56195950253,<b>Amberieu</b><br>Latitude: 45.9833<br>Longitude: 5.3333<br>Elevation: 250.0,"Bugey Savoie, France"
07486,Grenoble / St. Geoirs,FR,V,07486,LFLS,45.3667,5.3333,384.0,Europe/Paris,1973-01-01,2023-03-31,1999-03-24,2022-04-25,2006-01-01,2022-01-01,56948.653337057585,<b>Grenoble / St. Geoirs</b><br>Latitude: 45.3667<br>Longitude: 5.3333<br>Elevation: 384.0,"Bugey Savoie, France"
07481,Lyon / Satolas,FR,V,07481,LFLL,45.7333,5.0833,248.0,Europe/Paris,1931-01-03,2023-03-31,1975-05-15,2023-03-25,1975-01-01,2022-01-01,57273.77483782478,<b>Lyon / Satolas</b><br>Latitude: 45.7333<br>Longitude: 5.0833<br>Elevation: 248.0,"Bugey Savoie, France"
07487,Grenonble Lvd / Le Versoud,FR,V,07487,,45.2172,5.8486,220.0,Europe/Paris,2005-02-01,2023-02-05,2005-02-03,2022-03-29,2009-01-01,2018-01-01,59103.98606637281,<b>Grenonble Lvd / Le Versoud</b><br>Latitude: 45.2172<br>Longitude: 5.8486<br>Elevation: 220.0,"Bugey Savoie, France"
06700,Geneve-Cointrin,CH,GE,06700,LSGG,46.25,6.1333,420.0,Europe/Zurich,1935-01-01,2023-03-31,1955-01-01,2023-03-26,1955-01-01,2022-01-01,60769.657531751676,<b>Geneve-Cointrin</b><br>Latitude: 46.25<br>Longitude: 6.1333<br>Elevation: 420.0,"Bugey Savoie, France"
07480,Lyon / Bron,FR,V,07480,LFLY,45.7167,4.95,200.0,Europe/Paris,1973-01-01,2023-03-31,1920-09-01,2023-03-26,1920-01-01,2022-01-01,67695.40585790756,<b>Lyon / Bron</b><br>Latitude: 45.7167<br>Longitude: 4.95<br>Elevation: 200.0,"Bugey Savoie, France"
07497,Bourg-St-Maurice,FR,V,07497,,45.6167,6.7667,865.0,Europe/Paris,1973-01-01,2023-02-05,1999-03-25,2022-03-29,2010-01-01,2021-01-01,74909.41079262401,<b>Bourg-St-Maurice</b><br>Latitude: 45.6167<br>Longitude: 6.7667<br>Elevation: 865.0,"Bugey Savoie, France"
07280,Dijon,FR,D,07280,LFSD,47.2667,5.0833,222.0,Europe/Paris,1931-01-01,2023-03-31,1973-01-01,2023-03-26,1961-01-01,2022-01-01,64958.06375637898,<b>Dijon</b><br>Latitude: 47.2667<br>Longitude: 5.0833<br>Elevation: 222.0,"Burgundy, France"
LFLH0,Chalon / Farges-lès-Chalon,FR,D,,LFLH,46.8333,4.8167,189.0,Europe/Paris,1984-09-11,2023-03-30,,,,,66876.02385056409,<b>Chalon / Farges-lès-Chalon</b><br>Latitude: 46.8333<br>Longitude: 4.8167<br>Elevation: 189.0,"Burgundy, France"
07276,Chatillon-Sur-Seine,FR,D,07276,LFQH,47.85,4.55,264.0,Europe/Paris,1973-01-01,2003-03-24,,,,,68176.27923199518,<b>Chatillon-Sur-Seine</b><br>Latitude: 47.85<br>Longitude: 4.55<br>Elevation: 264.0,"Burgundy, France"
07265,Auxerre,FR,D,07265,LFLA,47.8,3.55,207.0,Europe/Paris,2005-01-01,2023-02-05,2005-01-03,2022-03-28,1996-01-01,2021-01-01,18758.983036896097,<b>Auxerre</b><br>Latitude: 47.8<br>Longitude: 3.55<br>Elevation: 207.0,"Chablis, France"
07276,Chatillon-Sur-Seine,FR,D,07276,LFQH,47.85,4.55,264.0,Europe/Paris,1973-01-01,2003-03-24,,,,,56104.73146898324,<b>Chatillon-Sur-Seine</b><br>Latitude: 47.85<br>Longitude: 4.55<br>Elevation: 264.0,"Chablis, France"
07168,Troyes,FR,G,07168,LFQB,48.3333,4.0167,118.0,Europe/Paris,1975-06-18,2023-03-31,1975-06-18,2023-03-26,1975-01-01,2022-01-01,59813.359182242544,<b>Troyes</b><br>Latitude: 48.3333<br>Longitude: 4.0167<br>Elevation: 118.0,"Chablis, France"
07315,La Rochelle,FR,T,07315,LFBH,46.15,-1.15,4.0,Europe/Paris,2004-08-03,2023-03-31,2005-01-12,2022-04-25,2005-01-01,2022-01-01,40051.92327675979,<b>La Rochelle</b><br>Latitude: 46.15<br>Longitude: -1.15<br>Elevation: 4.0,"Champagne, France"
07314,Chassiron,FR,T,07314,,46.0333,-1.4167,11.0,Europe/Paris,1973-01-01,2023-02-05,1973-01-02,2023-03-26,1973-01-01,2021-01-01,45355.61374578854,<b>Chassiron</b><br>Latitude: 46.0333<br>Longitude: -1.4167<br>Elevation: 11.0,"Champagne, France"
07412,Cognac,FR,CT,07412,LFBG,45.6667,-0.3167,30.0,Europe/Paris,1973-01-01,2023-03-31,1999-03-24,2022-04-25,2009-01-01,2022-01-01,49326.37302255739,<b>Cognac</b><br>Latitude: 45.6667<br>Longitude: -0.3167<br>Elevation: 30.0,"Champagne, France"
07330,Niort,FR,T,07330,LFBN,46.3167,-0.4,61.0,Europe/Paris,1986-01-01,2023-02-05,1999-03-24,2022-03-28,2005-01-01,2021-01-01,66580.43922796551,<b>Niort</b><br>Latitude: 46.3167<br>Longitude: -0.4<br>Elevation: 61.0,"Champagne, France"
07311,Pointe Des Baleines / Le Gillieux,FR,T,07311,,46.25,-1.5667,10.0,Europe/Paris,1988-01-11,2023-02-05,2004-10-20,2005-04-04,,,68965.4440479037,<b>Pointe Des Baleines / Le Gillieux</b><br>Latitude: 46.25<br>Longitude: -1.5667<br>Elevation: 10.0,"Champagne, France"
07761,Ajaccio,FR,H,07761,LFKJ,41.9167,8.8,6.0,Europe/Paris,1936-06-16,2023-03-31,1944-08-01,2023-03-26,1944-01-01,2022-01-01,37440.65905389262,<b>Ajaccio</b><br>Latitude: 41.9167<br>Longitude: 8.8<br>Elevation: 6.0,"Corsica, France"
07775,Alistro / Bravonne,FR,H,07775,,42.2603,9.5411,65.0,Europe/Paris,2001-09-19,2023-02-06,2004-10-19,2022-03-29,2006-01-01,2021-01-01,39741.5365540153,<b>Alistro / Bravonne</b><br>Latitude: 42.2603<br>Longitude: 9.5411<br>Elevation: 65.0,"Corsica, France"
07765,Solenzara,FR,H,07765,LFKS,41.9167,9.4,8.0,Europe/Paris,1973-01-01,2023-03-31,1999-03-24,2022-04-25,2009-01-01,2022-01-01,40745.470096470744,<b>Solenzara</b><br>Latitude: 41.9167<br>Longitude: 9.4<br>Elevation: 8.0,"Corsica, France"
07754,Calvi,FR,H,07754,LFKC,42.5333,8.8,64.0,Europe/Paris,1973-01-01,2023-03-31,1999-03-24,2022-04-25,2005-01-01,2022-01-01,44269.93690455418,<b>Calvi</b><br>Latitude: 42.5333<br>Longitude: 8.8<br>Elevation: 64.0,"Corsica, France"
07753,Ile Rousse,FR,H,07753,,42.6333,8.9167,120.0,Europe/Paris,1988-10-01,2023-02-05,2004-10-20,2022-03-29,2007-01-01,2021-01-01,51047.95894335055,<b>Ile Rousse</b><br>Latitude: 42.6333<br>Longitude: 8.9167<br>Elevation: 120.0,"Corsica, France"
07790,Bastia,FR,H,07790,LFKB,42.55,9.4833,8.0,Europe/Paris,1945-05-18,2023-03-31,1945-05-18,2023-03-26,1945-01-01,2022-01-01,52736.887977823455,<b>Bastia</b><br>Latitude: 42.55<br>Longitude: 9.4833<br>Elevation: 8.0,"Corsica, France"
07768,La Chiappa,FR,H,07768,,41.6,9.3667,62.0,Europe/Paris,1936-06-15,2023-02-06,2019-11-28,2022-03-29,2020-01-01,2020-01-01,69898.11117400962,<b>La Chiappa</b><br>Latitude: 41.6<br>Longitude: 9.3667<br>Elevation: 62.0,"Corsica, France"
07130,Rennes,FR,E,07130,LFRN,48.0667,-1.7333,37.0,Europe/Paris,1931-01-05,2023-03-31,1944-11-01,2023-03-26,1944-01-01,2022-01-01,5829.812442855824,<b>Rennes</b><br>Latitude: 48.0667<br>Longitude: -1.7333<br>Elevation: 37.0,"Languedoc, France"
07125,Dinard,FR,E,07125,LFRD,48.5833,-2.0667,65.0,Europe/Paris,1973-01-01,2023-03-31,2001-12-23,2022-04-25,2005-01-01,2022-01-01,58502.57462343319,<b>Dinard</b><br>Latitude: 48.5833<br>Longitude: -2.0667<br>Elevation: 65.0,"Languedoc, France"
LFOV0,Laval-Entrammes / Saint-Pierre,FR,R,,LFOV,48.0314,-0.743,101.0,Europe/Paris,1988-06-21,2023-03-31,2004-10-20,2022-04-25,2005-01-01,2022-01-01,72045.42668375635,<b>Laval-Entrammes / Saint-Pierre</b><br>Latitude: 48.0314<br>Longitude: -0.743<br>Elevation: 101.0,"Languedoc, France"
07257,Avord,FR,F,07257,LFOA,47.05,2.65,175.0,Europe/Paris,1998-02-01,2023-03-31,1998-04-11,2022-04-25,2012-01-01,2022-01-01,56247.79062231819,<b>Avord</b><br>Latitude: 47.05<br>Longitude: 2.65<br>Elevation: 175.0,"Loire Valley, France"
07265,Auxerre,FR,D,07265,LFLA,47.8,3.55,207.0,Europe/Paris,2005-01-01,2023-02-05,2005-01-03,2022-03-28,1996-01-01,2021-01-01,61855.70733471655,<b>Auxerre</b><br>Latitude: 47.8<br>Longitude: 3.55<br>Elevation: 207.0,"Loire Valley, France"
LFOZ0,Orléans-Saint-Denis-de-l'Hôtel / Orleans-St-Denis De L'hotel / Fay-aux-Loges,FR,F,,LFOZ,47.8969,2.1633,121.0,Europe/Paris,2020-01-14,2023-03-31,2020-01-14,2022-04-25,2020-01-01,2022-01-01,62794.119162371135,<b>Orléans-Saint-Denis-de-l'Hôtel / Orleans-St-Denis De L'hotel / Fay-aux-Loges</b><br>Latitude: 47.8969<br>Longitude: 2.1633<br>Elevation: 121.0,"Loire Valley, France"
07255,Bourges,FR,F,07255,LFLD,47.0667,2.3667,161.0,Europe/Paris,1973-01-01,2023-03-31,1945-03-01,2023-03-26,1945-01-01,2021-01-01,62921.29061588391,<b>Bourges</b><br>Latitude: 47.0667<br>Longitude: 2.3667<br>Elevation: 161.0,"Loire Valley, France"
07260,Nevers,FR,D,07260,LFQG,47.0,3.1,180.0,Europe/Paris,1973-01-02,2023-03-30,1999-03-24,2022-04-24,2005-01-01,2021-01-01,64027.82512394728,<b>Nevers</b><br>Latitude: 47.0<br>Longitude: 3.1<br>Elevation: 180.0,"Loire Valley, France"
07477,Les Sauvages,FR,V,07477,,45.9333,4.3833,730.0,Europe/Paris,1973-01-01,2023-02-05,2012-11-29,2022-03-29,2013-01-01,2020-01-01,23785.957906553733,<b>Les Sauvages</b><br>Latitude: 45.9333<br>Longitude: 4.3833<br>Elevation: 730.0,"Provence, France"
07385,Macon,FR,D,07385,LFLM,46.3,4.8,221.0,Europe/Paris,1973-01-01,2023-02-05,1999-03-24,2022-03-29,2009-01-01,2021-01-01,28140.086506864198,<b>Macon</b><br>Latitude: 46.3<br>Longitude: 4.8<br>Elevation: 221.0,"Provence, France"
07480,Lyon / Bron,FR,V,07480,LFLY,45.7167,4.95,200.0,Europe/Paris,1973-01-01,2023-03-31,1920-09-01,2023-03-26,1920-01-01,2022-01-01,51072.57417045154,<b>Lyon / Bron</b><br>Latitude: 45.7167<br>Longitude: 4.95<br>Elevation: 200.0,"Provence, France"
07379,Saint-Yan,FR,D,07379,LFLN,46.4167,4.0167,242.0,Europe/Paris,1973-01-03,2023-03-31,1999-03-24,2022-04-25,2005-01-01,2022-01-01,56045.79862317821,<b>Saint-Yan</b><br>Latitude: 46.4167<br>Longitude: 4.0167<br>Elevation: 242.0,"Provence, France"
07481,Lyon / Satolas,FR,V,07481,LFLL,45.7333,5.0833,248.0,Europe/Paris,1931-01-03,2023-03-31,1975-05-15,2023-03-25,1975-01-01,2022-01-01,56130.672960044256,<b>Lyon / Satolas</b><br>Latitude: 45.7333<br>Longitude: 5.0833<br>Elevation: 248.0,"Provence, France"
07482,Amberieu,FR,V,07482,LFXA,45.9833,5.3333,250.0,Europe/Paris,1980-10-29,2023-02-05,1999-03-24,2022-03-29,2009-01-01,2021-01-01,59452.39062062907,<b>Amberieu</b><br>Latitude: 45.9833<br>Longitude: 5.3333<br>Elevation: 250.0,"Provence, France"
07475,St-Etienne Boutheon,FR,V,07475,LFMH,45.5333,4.3,404.0,Europe/Paris,1973-01-01,2023-03-31,2004-10-19,2022-04-25,2005-01-01,2022-01-01,66398.13750883985,<b>St-Etienne Boutheon</b><br>Latitude: 45.5333<br>Longitude: 4.3<br>Elevation: 404.0,"Provence, France"
07140,Chateaudun,FR,F,07140,LFOC,48.05,1.3833,134.0,Europe/Paris,1973-01-01,2023-02-05,1999-04-11,2022-03-28,2008-01-01,2021-01-01,51218.714470843384,<b>Chateaudun</b><br>Latitude: 48.05<br>Longitude: 1.3833<br>Elevation: 134.0,"Rhône Valley, France"
07139,Alencon,FR,P,07139,LFOF,48.45,0.1167,144.0,Europe/Paris,1973-01-01,2023-03-31,1973-01-01,2023-03-26,1973-01-01,2022-01-01,53917.33805070486,<b>Alencon</b><br>Latitude: 48.45<br>Longitude: 0.1167<br>Elevation: 144.0,"Rhône Valley, France"
